State,Participant Name,Institution,Collection,Project Title,Link,Years Covered,Year of Interview,Project Overview
North Carolina,Jeanne Brayboy,The History Makers,Education Matters,"The HistoryMakers® Video Oral History Interview with Jeanne Brayboy,",https://www.thehistorymakers.org/sites/default/files/A2007_179_EAD.pdf,1950s-1990,2007,"Civil rights activist and school teacher Jeanne Martin Brayboy was born on February 23, 1930, in Camden, South Carolina. Her father, John Wendell Martin, was a high school teacher and football coach; and he started the first African American athletic conference in South Carolina. Her mother, June Singleton Martin, was a librarian. Brayboy and her younger sister, Thomasina, grew up under strict segregation, and they recognized the disparities between whites and blacks in Camden’s educational system. She attended Mather Academy, an African American boarding school founded in 1867 by the Women’s Division of the Northern Methodist Church in Camden, where the teachers stressed academic excellence and community responsibility. Brayboy graduated from Mather Academy in 1947.
Brayboy went on to attend Bennett College in Greensboro, North Carolina, as a music major, where she became active in the Bennett Choir among other campus activities. In 1951, Brayboy graduated from Bennett College with honors and received her B.A. degree in music. She entered Boston University to pursue her M.A. degree in music education. During her tenure at Boston University, Brayboy met Martin Luther King, Jr. Brayboy and King were a part of a small group of friends that attended black social gatherings on campus. She graduated from Boston University in 1953, and started her teaching career in Charlotte, North Carolina. In 1954, she married the late Dr. Jack Brayboy, who was an administrator at Johnson C. Smith University in Charlotte, North Carolina.
Brayboy spent forty years as a teacher in the Charlotte-Mecklenburg School System, from 1953 to 1993. While she worked in the segregated Charlotte schools, she witnessed bus boycotts and sit-ins during the Civil Rights Movement. In 1969, Brayboy became one of the first African American teachers to integrate the Charlotte- Mecklenburg Public Schools. Brayboy retired in 1993.
The mother of two adult children, Jack and Joyce, Brayboy devotes her time to many civic organizations including the Charlotte Symphony Orchestra, Levine Museum of the New South and the Foundation for the Carolinas. In
file:///192.168.19.4/Company/HM%20Interviews/Finding%20Aids/EAD/A2007_179_EAD.html[5/30/2023 9:33:42 PM]
Finding Aid to The HistoryMakers ® Video Oral History with Jeanne Brayboy
2011, Brayboy was awarded the Marie R. Rowe Award by the Symphony Guild of Charlotte, Inc. Jeanne Martin Brayboy was interviewed by The HistoryMakers on June 20, 2007."
North Carolina ,Shirley Malcom,The History Makers,Education Matters,Shirley Malcom,https://www.thehistorymakers.org/biography/shirley-malcom-42,1960s-1980s,2012,She taught biology before obtaining her Ph. D. degree in ecology from Pennsylvania State University in 1974.
North Carolina ,Pearl Swann Carter ,Marshall University ,Marshall University Oral History Collection ,Oral History Interview: Pearl Swann Carter,https://mds.marshall.edu/cgi/viewcontent.cgi?article=1570&context=oral_history,1920s-1960s,"October 1, 2001","Pearl Swann Carter began teaching at a school in Clintonville, West Virginia. She gives us detailed information about her family throughout the interview, including her husband and children, a relative who was a slave, a story about her sister becoming mayor of White Sulphur Springs, and organizations her husband and her family belonged to. "
North Carolina ,E. V. Dacons,University of North Carolina at Chapel Hill ,Southern Oral History Program Collection,Oral History Interview with E. V. Dacons,https://docsouth.unc.edu/sohp/M-0009/menu.html,1960s,"March 4, 1991","Ebson V. Dacons discusses his career as a black high school principal in segregated and desegregated public schools. He was the principal of Lincoln Heights High in Wilkes County, North Carolina, from 1964 until 1968."
North Carolina ,Henry Ell Frye,University of North Carolina at Chapel Hill ,Southern Oral History Program Collection ,Oral History Interview with Henry Ell Frye,https://docsouth.unc.edu/sohp/C-0091/excerpts/excerpt_4968.html,1940s-1980s,"February 18 and 26, 1992","He recalls that despite segregation, black and white children in the farming community played and worked together outside of school. In the late 1940s, Frye left Ellerbe to attend North Carolina A&T in Greensboro. "
North Carolina ,Inez Cannon Jones,East Carolina University (ECU),East Carolina Manuscript Collection,,https://digital.lib.ecu.edu/51301,-1970s,1997,"Oral history interview with Inez Cannon Jones, an African American teacher from Burke County, N.C. Jones describes her childhood, her education at Allen High School for Girls in Asheville, N.C., Bennett College in Greensboro, N.C., Howard University, and the University of Minnesota, her career as a teacher in the towns of Kinston and Lenoir, N.C., and her students. Interviewer: Martha Vaughn."
Ohio,Sylvester Small,The History Makers,Education Matters,Sylvester Small,https://www.thehistorymakers.org/biography/sylvester-small-39,1970s-2000s,2002,"Educator Sylvester Small was born February 26, 1947, in Akron, Ohio. Small graduated from Hower Vocational High School in 1965. In 1966, he enrolled in the University of Akron and by 1971 was teaching in Akron Public Schools"
Ohio,Margaret Peters,The History Makers,Education Matters,Margaret Peters,https://www.thehistorymakers.org/biography/margaret-peters-41,1969–2000s,2006,"Educator and historian Margaret Peters was born on March 12, 1936 in Dayton, Ohio.n 1968, Peters was appointed Black History Resource Teacher for Dayton Public Schools."
Ohio,June Sallee Antoine,The History Makers,Education Matters,June Sallee Antoine,https://sultan.tnstate.edu/search~S3?/X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D/X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D&SUBKEY=%22teacher%22+and+%22oral+history%22/1%2C165%2C165%2CB/frameset&FF=X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D&6%2C6%2C,1950s-1990s,2004,"High school principal and nonprofit executive June Sallee Antoine was born on March 3, 1929 in Sandusky, Ohio. She earned her B.A. degree from Ohio State University in 1951 and her master's degree from Case Western Reserve University in 1956. She worked as a classroom teacher, guidance counselor, and assistant principal in public schools in Northeast Ohio."
Ohio,Ida May Rhodes,University of Cincinnati,"Afro-American Studies Department, Oral History Project, Black Cincinnatians in the 20th Century",Ida May Rhodes:,https://findingaids.libraries.uc.edu/repositories/5/resources/491,N/A,1975,Educator who taught in the Cincinnati Public School system for 42 years. Rhodes taught at Douglas Elementary School for 32 years before moving to South Avondale to integrate the faculty.
Ohio,Dorothy Layne McIntyre ,Cleveland State University ,Oral History Collection,"Dorothy Layne McIntyre Interview, 31 May 2013",https://engagedscholarship.csuohio.edu/crohc000/481/,N/A,2003,"Dorothy Layne McIntyre was born and raised in LeRoy, New York. She is the mother of interviewees Donna McIntyre Whyte and Dianne McIntyre. She was one of the first black women to receive a pilot's license in the United States and possibly the first woman in Ohio to receive such a license. She went to West Virginia State College for her training. She was an accountant, a social worker, and finished her career as a teacher, mainly at the Paul Revere School. She first lived in the Glenville area and then in the Mt. Pleasant area, where she currently resides with her daughter Dianne."
Ohio,Grace Lee Mims, HistoryMakers,HistoryMakers,The HistoryMakers ® Vi,https://www.thehistorymakers.org/sites/default/files/A2014_071_EAD.pdf,,2014,"Radio host and vocalist A. Grace Lee Mims (1930 – 2019) hosted “The Black Arts” and “Artslog” on Cleveland’s WCLV-FM radio for over thirty years. She was an accomplished vocalist and a voice teacher at the Cleveland Music School since 1980. Mims was interviewed by The HistoryMakers® on February 14, 2014, East Cleveland, Ohio. This collection is comprised of the original video footage of the interview"
Oklahoma,Charlamae Rollins,Fisk University,Fisk University Oral History Collection,,https://www.fisk.edu/wp-content/uploads/2020/06/Fisk_Oral_History_Collection1.pdf,N/A,1972,Talks about her early life in Oklahoma and her career as a children's librarian
Oklahoma,Chloe Brown,Oklahoma State University,The Inductees of the Oklahoma Women's Hall of Fame Oral History Project,Oral history interview with Chloe Brown,https://dc.library.okstate.edu/digital/collection/halloffame/id/95/,N/A,2012,"Chloe Brown, a 2011 Oklahoma Women's Hall of Fame inductee and co-founder of Chloe House in Tulsa, Oklahoma, recalls her childhood in the Greenwood community and in a ministering family. She talks about early influences that guided her toward a career in elementary education and her time at Langston University. Brown discusses establishing Chloe House and her interest in helping formerly incarcerated women reintegrate into society. She also shares some of her volunteer efforts within the Tulsa community such as tutoring children."
Oregon,Joy Pruitt,Oregon State University,Oregon Black Pioneers Oral History Collection (OH 42),,https://scarc.library.oregonstate.edu/omeka/items/show/35440,1950s,2018,"In this interview, Joy Pruitt begins by recounting her experience growing up as one of the only Black families in her neighborhood in Portland, Oregon. She discusses the racism and prejudice she faced from both students and teachers as the only Black person in her elementary school class. She goes on to talk about her experience as an undergraduate student at Linfield College, where she was the only Black person in her small town. There, she faced significant racism but credits the support of her parents and the Urban League of Portland for helping her cope. She also discusses her positive experiences of easily making friends with white students and how that affected both her and her friends. Pruitt also spends time recounting her parent’s backgrounds and upbringing in Mississippi, surrounded by substantial, often violent, Klansmen activity.

Pruitt goes on to reflect on her career as a teacher, and the racism she faced being a Black teacher. She briefly recounts her husband’s career as a dentist, as well as the racism he faced in his career while first getting started. Pruitt remarks that she was too busy working and parenting during the Civil Rights Movement to be heavily involved, but that she was a member of many organizations and was heavily involved with the Urban League of Portland throughout her life. She also discusses her experiences buying homes in Portland, and both the racism she faced from her neighbors, and the friends she made in her neighborhoods. Pruitt goes on to share her hobbies and details of her social life, including how much she loves to host and entertain, her active life playing tennis at age 89, and her love of music. Pruitt ends the interview by recounting how lucky she felt to have great parents, supportive friends, a happy childhood, and an active life. Her last message to viewers is to remember the importance of education and supporting children.

Joy Pruitt was born in 1938. Pruitt was born and raised in Portland, Oregon, with her two sisters. After graduating high school, Pruitt attended Linfield College in McMinnville, Oregon, to get her undergraduate degree. With the support of the Urban League of Portland, with whom she was involved as a member, she went on to have a career as a teacher. A year after securing her first teaching job, Pruitt married and moved to Las Vegas, Nevada, where her husband was stationed as a serviceman in the military. After a few years in Las Vegas, where her first son was born, she and her husband moved back to Portland, where they had two more children and bought a home in 1958. Pruitt also considers two other young women who she took into her home and raised to be her children. Pruitt led an active social life of gardening, entertaining, playing tennis, and playing music. At the time of the interview, she was 89, and still led an active social life."
Oregon ,Joyce Braden Harris,Archives West Orbis Cascade,,Oral history interview with Joyce Braden Harris,http://pdxscholar.library.pdx.edu/blackunited_oralhist/3/,1980s-1990,2010,"Oral history interview with Joyce Braden Harris conducted by Jan Dilg from November 18 to December 12, 2018."
Oregon ,Aletha Chavis,Oregon State University,Oregon Black Pioneers Oral History Collection,Aletha Chavis ,http://scarc.library.oregonstate.edu/omeka/exhibits/show/multiculturalvoices/item/35442,1930-1980s,2019,"Aletha Chavis opens this interview by reflecting on her early childhood and the houses she grew up in. She places particular emphasis on the importance of her neighborhood and her community in how she grew up. She then recalls how her parents came to Oregon from Barbados, and how her parents met. She then goes on to reflect on her experiences in school, and the racism she often faced as the only Black student in her class. Chavis remarks how she was usually untroubled or unaware of other people’s racism, and rarely let it affect her. She then discusses her time at Vanport Junior College and the race relations on campus. She then talks about her time working as a nursing aide for disabled children, and her frustration that no one wanted to help the children become more self-sufficient. Chavis then reflects on her time at the Oregon College of Education, where she was forced to live off-campus because there were no other people of color on campus to live with her. She then goes on to talk about her experiences student teaching, and early experiences working as a teacher in Portland, particularly the racism she faced as the only Black teacher at her school. She then goes into detail about the social dancing scene in Portland at the time, and how important dances were, as many other forms of entertainment were not open to Black people. She then goes on to talk about her experience moving to and living in Oakland, California. Chavis takes a brief detour to discuss how her family was the only Black family in her church growing up, and how that affected her relationship with the church. She then recalls in detail her time after she married her husband, and how she spent years moving around constantly due to her husband’s Navy deployments. She particularly focuses on how she experienced race and racism differently in different parts of the county, especially the racism she faced in Beeville, Texas, and Philadelphia, Pennsylvania. She finishes her first interview by discussing how she moved back to Portland with her three daughters after divorcing her husband, and how teaching in Portland differed from teaching in other parts of the United States."
Pennsylvania,James Oscar Lee,The History Makers,Education Matters,James Oscar Lee,https://sultan.tnstate.edu/search~S3?/X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D/X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D&SUBKEY=%22teacher%22+and+%22oral+history%22/49%2C165%2C165%2CB/frameset&FF=X%22teacher%22+and+%22oral+history%22&searchscope=3&SORT=D&50%2C50%2C,1939-1990s,2003,"Lee earned his B.A. from Central High School, the second oldest high school in the country and formerly accredited to grant degrees. Lee began teaching in 1939. With the onset of World War II, he began teaching aviation engine mechanics to white soldiers in Chicago. After being transferred to the South, Lee was no longer able to teach white soldiers. Following the War, in 1948 Lee worked for Chicago Public Schools as an instructor at the new Dunbar Trade School which changed to a ""vocational"" school."
Pennsylvania,Selma Burke ,Amistad Research Center ,Selma H. Burke interviews,Selma H. Burke interviews,https://amistad-finding-aids.tulane.edu/repositories/2/resources/588,N/A,1991,"Selma H. Burke was an African American teacher and sculptress who designed the portrait for the Roosevelt dime and who founded the Selma Burke Art Center in Pittsburgh, Pennsylvania. The collection consists of 5 audiocassette tapes of interviews conducted by Clifton H. Johnson with Burke in her home in Pennsylvania from May 7-9, 1991. A separate interview conducted on February 20, 1991 is present on a VHS videotape"
Pennsylvania ,Rodney Reed,The History Makers,Education Matters,Rodney Reed,https://www.thehistorymakers.org/biography/rodney-reed-41,1950s-1900s,2011,"Educator Rodney Reed was born in New Orleans, Louisiana on May 16, 1932. He earned his B.A. degree at Clark College in 1951, and his M.A. degree at the University of Michigan in 1956."
Rhode Island,Kenneth Walker,The History Makers,Education Matters,Kenneth Walker,https://www.thehistorymakers.org/biography/kenneth-walker-39,1960s-1990s,2003,"In addition to teaching, Walker directed several programs geared toward improving educational opportunities for low-income students and bettering the quality of urban education in Rhode Island, including Project Upward Bound and the Teacher Corps."
South Carolina,Carlos Gibbons,University of South Carolina,,Carlos Gibbons oral history interview (2),https://search.worldcat.org/title/1158017336,N/A ,2015,"This oral history interview with Carlos Gibbons on May 18, 2015 includes discussions of his time as a student at the University of South Carolina, teaching, working as the superintendent of schools in South Carolina, the merging of the South Carolina Education Association with the Palmetto Education Association"
South Carolina,UF Samuel Proctor Oral History Program,University of South Carolina,"Tom Crosby oral history collection, 2006-2011",,https://digital.tcl.sc.edu/digital/collection/tomcrosbystr/id/89/rec/1,1920s-1940s,2007,"In this oral history interview, Agnes Hildebrand Wilson Burgess discusses her educational experiences at Claflin and Elloree Elementary schools through her graduate work at Temple University and The Sorbonne, her outstanding achievements as an educator, and her travels to France and Kenya."
South Carolina,Dr. Walker Solomon,University of South Carolina,,Dr. Walker Solomon,https://i-share-uiu.primo.exlibrisgroup.com/permalink/01CARLI_UIU/gpjosq/alma99533917212205899 https://www.youtube.com/watch?v=cH6oxHH6eHk,1940-1970,1980,"Solomon, executive secretary of the Palmetto Education Association, 1950-1967, reveals the historical significance of the association as a formidable educational entity for Black educators."
South Carolina,Eugene C. Hunt,"College of Charleston, Avery Research Center for African American History and Culture",,,https://lcdl.library.cofc.edu/lcdl/catalog/lcdl:23400,1990s,1985,"In this third interview conducted in 1985, Eugene C. Hunt (1890 – 1995) talks at first about taking music lessons with Charleston’s most renown music teacher at the time, J. Donovan Moore. He refers in detail to his upbringing in Charleston’s Radcliffeborough neighborhood by mentioning several local families and Avery teachers that lived there, such as the Dashes and the Andersons, Ms. Simms and Ms. Clyde. Regarding religious affiliations, Hunt emphasizes his break with Central Baptist Church and joining of St. Mark’s Episcopal Church. Talking about long musical traditions in his family, Hunt recalls singing in several church choirs throughout high school. Inquiring about Charleston’s East Side and its bad reputation, Hunt elaborates on the varying ethnicities comprising the mixed neighborhood. Hunt mainly attributes the acquirement of his vast knowledge in African American and Charleston history to the schools he attended, his family, and people he frequently interacted with, such as Dr. John McFall. Referring to his parents’ professions, Hunt describes his family’s economic situation as poor. However, he emphasizes his parents’ desire to provide a good education for their children. Hunt mentions Ms. Jeannette Cox’s influence and guidance on his academic interests in Communication, English and Speech during his years in college. The interview then talks about the importance of storytelling and narratives in the African American community before"
South Carolina,Larissa Smith Ferguson,Longwood University,"Remembering school days : [video recording]: oral histories of Black education in Jim Crow Virginia / Larissa Smith Fergeson a Greenwood Library, Longwood University event",N/A,https://search.worldcat.org/title/1304507266,1930s,2008,"Address given by Larissa Smith Fergeson at the Greenwood Library Special Collections Lecture Series
 Recorded April 17, 2008, Greenwood Library, Longwood University"
South Carolina,Louise Mouzon,Avery Research Center at the College of Charleston,Avery Research Center Oral Histories,Avery Normal Institute Oral History Project,https://lcdl.library.cofc.edu/lcdl/catalog/lcdl:23396,1920s-1930s,1980,"H. Louise Mouzon speaks of her family history, including her fathers numerous professions as a shoemaker, a carpenter, and a Methodist minister at several Charleston, South Carolina area churches."
South Carolina,B.B. De Laine,The History Makers,Education Matters,B.B. De Laine,https://www.thehistorymakers.org/biography/b-b-de-laine-41,1950s,2007,"De Laine taught in schools in Chappaqua, New York, and later became a teacher in the Charlotte-Mecklenburg Schools,"
South Carolina,Crain Woods,The History Makers,Education Matters,Crain Woods,https://www.thehistorymakers.org/biography/crain-woods-39,1950s-1990s,2002,"After earning his B.S. degree from Benedict College in 1957, Woods began teaching in 1959."
South Carolina,Broadus O. (B.O.) Butler Sr.,National Park Service ,"Oral History Interview with B.O. Butler Sr.
Brown v. Board of Education National Historical Park",,https://www.nps.gov/articles/000/oral-history-interview-with-b-o-butler-sr.htm,1949-1971,2001,"This interview provides a unique perspective of life and educatonal career of B.O. Butler Sr. as a  teacher outside of Summerton at the St. Paul Training School,a teacher and later principal of Scott’s Branch High School from 1956 to 1971 and later as as school district superintendent until 1979"
South Carolina,"Mary Winkflied Solomon
",University of South Carolina,PART 4: The Education Agenda,"Looking For That Car
",https://digital.library.sc.edu/exhibits/champions/volume-1-2/part-4/mary-winkfield-solomon/,1947-1960,2005,This interview provides a unique perspective of the life and educatonal career of Dr. Walker Solomon and his experience in the Palmetto Education Association. His wife Mary Solomon describes the impact her had on the CTA and his advocation for Black education. 
South Carolina,"John W. Gadson
",Teachers in the Movement,"Interviews/Resource Library
",Teachers in the Movement,https://digital.library.sc.edu/exhibits/champions/volume-5-2/part-3/john-w-gadson-sr/,1930-2005,2005,"This interview provides a unique perspective of the life and educatonal career of John W. Gadson. Gadson, discussed his role as a Black education in the 1950's and the role the Palmetto Education played in the advancement of Black education. "
South Carolina,"David Jenkins
",Teachers in the Movement,"Interviews/Resource Library
",Teachers in the Movement,https://teachersinthemovement.com/resource-library/david-jenkins,N/A,2019,"In this interview, David Jenkins discusses fairness in his classroom, the influence of the Palmetto Education Association on his teaching, and his participation in local civil rights activities."
South Carolina,"Shephard Johnson
",Teachers in the Movement,"Interviews/Resource Library
",Teachers in the Movement,https://teachersinthemovement.com/resource-library/shephard-johnson,N/A,2017,"In this interview, Shephard Johnson recalls growing up and attending school in Jim Crow South Carolina. His education was interrupted when he was called to the service in the army, where he was a combat medic. He finished his education preparation at 7 different universities/colleges. Throughout his career he held several different roles including elementary teacher, principal, and Dean of Education."
South Carolina,"Carl Jackson, Jr.
Elizabeth Martin
",University of South Carolina,Fairfield High School Oral History Collection,"Carl Jackson, Jr.
",https://digital.tcl.sc.edu/digital/collection/fairfieldhs/id/16/rec/2,1940s-1980s,2017,"Carl Jackson, Jr. was born in Winnsboro, South Carolina, and attended Gordon Elementary school and later Fairfield High School, prior to integration. After graduation from high school Carl joined the Air Force, earned a teaching degree from Benedict College, and got married. He then taught at both his alma mater, and was principal of several schools, including being the first black principal of Mt. Zion School, just prior to and during the integration of South Carolina public schools. Most recently, he was the principal of Gordon Odyssey Academy, and is now vice chair on the Fairfield County School Board."
South Carolina,"Elizabeth Martin
",University of South Carolina,Fairfield High School Oral History Collection,"Elizabeth Martin
",https://digital.tcl.sc.edu/digital/collection/fairfieldhs/id/13/rec/5,1940s-1980s,2017,"She became a teacher at Fairfield High School in 1968. She later became principal at Mt. Zion Intermediate School after integration. It was from this position that she retired. She is still actively engaged in her community, advocating inter-racial harmony and working together as a means to build community and foster leadership skills in others."
South Carolina,Xanthene Norris,University of South Carolina,Part 4: Spawning the Movement in South Carolina,Xanthene Noriss: A Passion for Kids,https://digital.library.sc.edu/exhibits/champions/volume-2-contents/volume-1-part-4/xanthene-norris-a-passion-for-kids/,1940s-1980s,2005,"Segergated Black educator, civil rights activist, poltician"
South Carolina,"Walter Banks White
",Teachers in the Movement,"Interviews/Resource Library
",Teachers in the Movement,https://teachersinthemovement.com/resource-library/walter-banks-white,N/A,N/A,"In this interview, Walter Banks White talks of his time growing up in a caring community in Rock Hill, South Carolina and how he initially wanted to go into ministry, but found a passion in teaching. He taught social studies and later served as an assistant principle and administrator, facing a lot of pushback from white peers; his drive to help others helped him persevere."
South Carolina,Belinda Spears,Teachers in the Movement,"Interviews/Resource Library
",Teachers in the Movement,https://teachersinthemovement.com/resource-library/belinda-spears,N/A,2020,"In this interview, Belinda Spears discusses growing up and going to school in Bennettesville, South Carolina, going to Winthrop College, and returning to teach home economics at Cheraw High School in Chesterfield, South Carolina."
South Carolina,"Bettye Gathings
",Teachers in the Movement,"Interviews/Resource Library
",Teachers in the Movement,https://teachersinthemovement.com/resource-library/bettye-gathings,N/A,2020,"In this interview, Bettye Gathings talks about her time growing up in York, South Carolina and her experience graduating from Columbia University with a degree in Library Science. She also discusses her experience with integration and meeting various prominent civil rights activists.

"
South Carolina,Mr. Edward Newton,Teachers in the Movement,"Interviews/Resource Library
",Teachers in the Movement,https://teachersinthemovement.com/resource-library/episode-10-mr-edward-newton-made-most-limited-options,N/A,2020,"Mr. Edward Newton grew up in South Carolina in the 40s and 50s. After High School and serving in the military, he followed in his mother's footsteps and became a teacher and then an administrator. In this episode he talks about his mother's creativity in the classroom, his upbringing, and why he got his graduate degree in New York City.

"
South Carolina,James Wright,Teachers in the Movement,"Interviews/Resource Library
",Teachers in the Movement,https://teachersinthemovement.com/resource-library/episode-2-mr-james-wright-developed-course-black-history-columbia-sc-early-1970s,N/A,2020,"Mr. James Wright created a course in Black Studies at the newly-integrated Eau Claire High School in Columbia South Carolina. He talks about that curriculum, empowering his students through student council, and his own historical and genealogical research."
South Carolina,"Benton Langston
",University of South Carolina,PART 3: Advocacy and Service Organizations,"JOHN W. GADSON, SR.
",https://teachersinthemovement.com/resource-library/benton-langston,N/A,N/A,"In this interview, Benton Langston talks about growing up in Florence County, South Carolina. He attended a Rosenwald School and graduated high school in 1953. After serving in the army and earning a Biology degree from Morris College, he taught at multiple schools, including Chestnut High School in Little River, SC, Gibbs High School in Pamplico, SC, and Palmetto Junior High in Mullins, SC. He also taught at Emmett Scott High School and Sullivan Junior High in Rock Hill, SC"
South Carolina,"Maude Ross & Karen Ross Grant
",University of South Carolina,Fairfield High School Oral History Collection,,https://digital.tcl.sc.edu/digital/collection/fairfieldhs/id/17/rec/19,1920s-1970s,2017,
South Carolina,Johnnie McFadden,University of North Carolina,"William Savage oral history collection, 1982-1988",Johnnie McFadden oral history interview,https://digital.tcl.sc.edu/digital/collection/savage/id/74,N/A,1987,"This oral history interview with Johnnie McFadden on June 16, 1987 includes discussion of his education and work experience, his name, some of the honors and positions he has held, desegregation of schools, The South Carolina Desegregation Center (now The General Assistance Center), opposition experienced as a black person in his profession, problems he has encountered in serving both USC as well as community groups and black organizations, serving as a role model, the question of institutions that are historically black or traditionally white being able to serve well all students, determining whether opposition to any proposal he makes is due to principle or race, his work as founder and member of The Black Faculty and Staff Association at USC, African Americans and education, tenure, USC College of Education, the USC Faculty Training Institute, Federal grants during the school desegregation period, his present position as the senior V.P. of International Affairs and Professional Development, the founding and purpose of that office, and his love of teaching in the classroom."
Tennessee,"Otey, Edith",Fisk University,Fisk University Oral History Collection: OH 182 (sides I & II) Archives Range 9 Cabinet 3,,https://www.fisk.edu/wp-content/uploads/2020/06/Fisk_Oral_History_Collection1.pdf,1880s-1890s,1973,"Discusses her early life in Chattanooga and Nashville, Tennessee, and education and her career as a teacher."
Tennessee,Margaret Burroughs,Fisk University,Fisk University Oral History Collection,,https://www.fisk.edu/wp-content/uploads/2020/06/Fisk_Oral_History_Collection1.pdf,N/A,1972,"Discusses her role as a artist, poet and teacher and her role in developing the DuSable Museum of African American History."
Tennessee,Hazell Jones,Memphis Public Libraries,901 Oral History Collection,,https://memphislibrary.contentdm.oclc.org/digital/search/collection/voices-901!p16108coll15!everett-cook/searchterm/%22Teacher%22/field/all/mode/all/conn/and,N/A,2021,"This is an interview with Hazell Jones concerning her childhood in Orange Mound. She discusses, among other things, her family's involvement with local church such as Mount Moriah and Mount Gilliam along with attending Melrose High School. There is also a short discussion of outings on Beale Street and her sister's civil rights activities. 
"
Tennessee,Jo Evelyn Carter Burford,Memphis Public Libraries,901 Oral History Collection,,https://memphislibrary.contentdm.oclc.org/digital/collection/voices-901/id/230/rec/23,N/A,2022,"""This is an interview with Jo Evelyn Carter Burford concerning growing up in the Orange Mound neighborhood and attending Melrose High School. She discusses the effect of school segregation on Melrose in the 1940s and 50s. In particular, she talks about the school receiving hand me down books from Central High School during segregation. She also briefly mentions marching for voting rights during the civil rights movement."
Tennessee,Jacqueline Williams,Memphis Public Libraries,901 Oral History Collection,,https://memphislibrary.contentdm.oclc.org/digital/collection/voices-901/id/50/rec/1,N/A,2019,"Discusses family history of Jacqueline Williams, a family of schoolteachers and educators in Memphis."
Tennessee,Sylvester Lewis,Memphis Public Libraries,901 Oral History Collection,,https://memphislibrary.contentdm.oclc.org/digital/collection/voices-901/id/77/rec/4,N/A,2019,"""The Reminiscences of Sylvester Lewis"" discusses his recollection of growing up in Memphis, attending black schools, and his family's experiences as educators.
"
Tennessee,Arlena L. Brown-Shipp,Memphis Public Libraries,901 Oral History Collection,,https://memphislibrary.contentdm.oclc.org/digital/collection/voices-901/id/209/rec/9,N/A,2022,"Arlena L. Brown-Shipp recounts her experiences in Memphis's segregated school system, detailing the effects Jim Crow had on Memphis's black familites. She later details her career as a teacher, following in the footsteps of her family."
Tennessee,Clarence Christian,Memphis Public Libraries,901 Oral History Collection,,https://memphislibrary.contentdm.oclc.org/digital/collection/voices-901/id/29/rec/3,N/A,2019,"Clarence Christian details his experiences with black teachers, particularly those who were educated at local schools."
Tennessee,"George W. Gore, Jr.",Fisk University,Fisk University Oral History Collection,,https://www.fisk.edu/wp-content/uploads/2020/06/Fisk_Oral_History_Collection1.pdf,N/A,1972,Discusses the discriminatory practices of the National Teacher Association prior to the 1950's and the growth of higher education for black people in Tennessee.
Tennessee,James A. Emanuel,Fisk University,Fisk University Oral History Collection,,https://www.fisk.edu/wp-content/uploads/2020/06/Fisk_Oral_History_Collection1.pdf,N/A,1972,"Discusses his experiences as a teacher and his interest in class struggles among workers as well as his interest in black culture including poetry, academics, films, aesthetics, genocide and politics."
Tennessee,Maxine Smith,Memphis Public Libraries,"Everett R. Cook Oral History Collection
",,https://memphislibrary.contentdm.oclc.org/digital/collection/everett-cook/id/168/rec/13,N/A,2000,"In this interview with Maxine Smith, Executive Secretary of the Memphis NAACP from 1962 to 1965 and the first African American person on the Memphis Board of Education, she talks about her work with the NAACP starting in the early 1950s and the difficulties of living in segregated Memphis. She also discusses her voter registration work and the push-back from segregationists throughout the 1950s and 1960s."
Tennessee,Johnnie Mae Peters,Memphis Public Libraries,Everett R. Cook Oral History Collection,,https://memphislibrary.contentdm.oclc.org/digital/collection/everett-cook/id/183/rec/21,N/A,2004,"In this interview, Memphian Johnnie Mae Peters describes her long term cooperation and work with H.T. Lockard, the NAACP, the SCDC, and Sheriff William Norris. She recounts life in Memphis before desegregation and her work organizing sit-ins, protests, and the registration of voters"
Tennessee,Dorothy Washington,Memphis Public Libraries,901 Oral History Collection,,https://memphislibrary.contentdm.oclc.org/digital/collection/voices-901/id/303/rec/22,N/A,2021,"This is an interview with Dorothy Washington concerning growing up in the neighborhood of Orange Mound in the 1950s and 60s. There is extensive discussion of old neighborhood institutions such as stores that were at the Lamar Airways Shopping Center when she was a child. The interview was conducted as part of a wider oral history project that accompanied the restoration of the historic Melrose High School building.
"
Tennessee,Patricia Walker Shaw,University of Memphis,Oral History Collection,,https://dn790000.ca.archive.org/0/items/aninterviewwithp00well/aninterviewwithp00well.pdf,,1979,
